Product Id,Area Code,Date,Sales,COGS,Margin,Expenses,Profit,Marketing,Inventory,Budget Sales,Budget COGS,Budget Margin,Budget Profit
9,504,2012-01-01,190,85,105,65,40,32,494,180,80,100,40
4,504,2012-01-01,180,75,105,97,8,68,522,150,60,90,10
2,225,2012-01-01,85,34,51,21,30,9,777,100,40,60,50
3,985,2012-01-01,81,33,48,20,28,9,777,100,40,60,50
5,505,2012-01-01,90,37,53,63,-10,34,261,70,30,40,-10
6,505,2012-01-01,82,35,47,38,9,11,196,70,30,40,10
8,505,2012-01-01,45,18,27,16,11,5,821,40,10,30,20
9,505,2012-01-01,62,28,34,30,4,8,965,60,20,40,20
4,505,2012-01-01,65,29,36,44,-8,11,169,50,20,30,0
2,505,2012-01-01,120,48,72,46,26,15,372,150,60,90,50
3,505,2012-01-01,99,88,11,50,-39,27,525,120,110,10,-30
5,405,2012-01-01,80,32,48,20,28,8,456,60,20,40,40
6,405,2012-01-01,210,84,126,59,67,27,651,180,70,110,70
8,918,2012-01-01,120,54,66,53,13,20,312,110,50,60,20
9,580,2012-01-01,190,79,111,101,10,72,551,180,70,110,30
4,405,2012-01-01,200,84,116,50,66,26,500,170,70,100,70
2,580,2012-01-01,100,44,56,27,29,14,623,120,50,70,50
3,580,2012-01-01,80,32,48,20,28,8,821,100,40,60,50
5,325,2012-01-01,219,89,130,35,95,24,777,180,70,110,90
6,956,2012-01-01,134,54,80,26,54,15,456,110,40,70,60
8,281,2012-01-01,140,60,80,47,33,19,336,130,50,80,50
9,254,2012-01-01,140,57,83,41,42,18,364,130,50,80,50
4,830,2012-01-01,180,72,108,55,53,23,558,150,60,90,50
2,409,2012-01-01,452,207,245,86,159,64,965,560,260,300,220
3,325,2012-01-01,190,83,107,39,68,27,623,230,100,130,100
4,435,2012-01-01,114,46,68,24,44,12,777,100,40,60,40
5,435,2012-01-01,112,49,63,29,34,16,623,100,40,60,40
6,435,2012-01-01,123,50,73,26,47,14,821,110,40,70,50
8,801,2012-01-01,93,38,55,34,21,12,241,80,30,50,30
9,435,2012-01-01,120,48,72,47,25,15,372,100,40,60,30
10,435,2012-01-01,99,88,11,51,-40,27,525,80,70,10,-30
11,435,2012-01-01,90,37,53,63,-10,34,261,60,20,40,0
12,435,2012-01-01,82,35,47,38,9,11,196,50,20,30,10
13,435,2012-01-01,65,29,36,45,-9,11,169,40,10,30,10
1,801,2012-01-01,170,78,92,45,47,24,965,210,90,120,80
2,435,2012-01-01,130,55,75,45,30,18,312,160,60,100,70
3,801,2012-01-01,190,85,105,66,39,32,494,230,100,130,70
4,661,2012-01-01,456,228,228,88,140,63,1459,430,210,220,150
5,818,2012-01-01,250,105,145,128,17,95,725,240,100,140,20
6,213,2012-01-01,546,234,312,109,203,77,1310,520,220,300,200
8,510,2012-01-01,234,95,139,37,102,26,821,200,80,120,100
9,310,2012-01-01,452,207,245,85,160,64,965,390,170,220,160
10,707,2012-01-01,190,83,107,40,67,27,623,160,70,90,60
11,619,2012-01-01,219,89,130,36,94,24,777,140,50,90,80
12,650,2012-01-01,134,54,80,26,54,15,456,90,30,60,60
13,760,2012-01-01,180,72,108,54,54,23,558,120,40,80,50
1,916,2012-01-01,145,95,50,52,-2,30,608,180,110,70,30
2,559,2012-01-01,678,271,407,145,262,94,2101,840,340,500,370
3,650,2012-01-01,118,144,-26,91,-117,47,862,140,180,-40,-120
4,775,2012-01-01,43,17,26,15,11,4,777,40,10,30,20
5,702,2012-01-01,45,18,27,17,10,5,821,40,10,30,20
6,775,2012-01-01,43,17,26,15,11,4,777,40,10,30,20
3,775,2012-01-01,62,28,34,30,4,8,965,70,30,40,20
8,702,2012-01-01,250,105,145,129,16,95,725,220,90,130,30
9,775,2012-01-01,345,144,201,90,111,47,862,300,120,180,120
10,702,2012-01-01,234,95,139,53,86,30,608,200,80,120,90
11,775,2012-01-01,546,234,312,109,203,77,1310,370,150,220,150
12,775,2012-01-01,456,228,228,87,141,63,1459,310,150,160,100
13,702,2012-01-01,17,245,-245,126,-354,93,1419,0,160,-160,-240
2,702,2012-01-01,76,34,42,45,-3,12,197,90,40,50,10
4,503,2012-01-01,130,58,72,56,16,22,338,120,50,70,20
5,503,2012-01-01,140,60,80,47,33,19,336,130,50,80,50
6,971,2012-01-01,341,170,171,72,99,47,1091,320,160,160,100
3,971,2012-01-01,140,57,83,41,42,18,364,170,70,100,70
8,971,2012-01-01,90,36,54,21,33,10,777,70,30,40,40
9,503,2012-01-01,100,44,56,27,29,14,623,80,30,50,30
11,971,2012-01-01,80,32,48,20,28,8,456,50,20,30,30
12,503,2012-01-01,210,84,126,58,68,27,651,140,50,90,60
13,541,2012-01-01,200,84,116,49,67,26,500,130,50,80,50
1,541,2012-01-01,150,63,87,86,1,57,435,180,70,110,40
2,503,2012-01-01,160,67,93,65,28,22,400,200,80,120,60
4,425,2012-01-01,110,48,62,27,35,15,623,100,40,60,40
5,253,2012-01-01,120,54,66,53,13,20,312,110,50,60,20
6,206,2012-01-01,150,69,81,42,39,21,965,140,60,80,60
3,509,2012-01-01,190,79,111,102,9,72,551,230,90,140,60
8,206,2012-01-01,310,124,186,71,115,40,961,270,100,170,120
9,360,2012-01-01,85,34,51,21,30,9,777,70,20,50,50
11,360,2012-01-01,180,67,113,43,70,20,400,120,40,80,50
12,253,2012-01-01,150,61,89,41,48,19,390,100,40,60,40
13,360,2012-01-01,180,75,105,97,8,68,522,120,40,80,20
2,206,2012-01-01,130,53,77,39,38,16,338,160,60,100,70
1,303,2012-02-01,243,99,144,39,105,27,766,250,100,150,120
2,720,2012-02-01,190,83,107,39,68,27,613,190,80,110,80
3,719,2012-02-01,232,95,137,38,99,26,809,240,100,140,110
13,970,2012-02-01,100,44,56,26,30,14,618,80,30,50,30
5,970,2012-02-01,189,77,112,32,80,21,449,220,80,140,110
6,303,2012-02-01,189,75,114,55,59,24,549,220,80,140,90
8,970,2012-02-01,340,170,170,71,99,47,1073,290,140,150,100
9,970,2012-02-01,129,54,75,78,-3,49,427,110,40,70,10
10,303,2012-02-01,140,60,80,47,33,19,329,120,50,70,40
11,719,2012-02-01,132,59,73,55,18,22,331,110,50,60,10
12,720,2012-02-01,136,62,74,40,34,19,958,110,50,60,30
2,312,2012-02-01,354,148,206,91,115,48,844,370,150,220,140
3,847,2012-02-01,254,104,150,55,95,33,596,260,110,150,100
5,708,2012-02-01,545,234,311,110,201,77,1282,640,270,370,260
6,312,2012-02-01,457,228,229,87,142,63,1436,530,260,270,180
8,815,2012-02-01,243,99,144,39,105,27,766,210,80,130,110
9,773,2012-02-01,190,83,107,39,68,27,613,160,70,90,60
10,847,2012-02-01,232,95,137,38,99,26,809,200,80,120,100
11,309,2012-02-01,189,77,112,33,79,21,449,160,60,100,80
12,630,2012-02-01,189,75,114,55,59,24,549,160,60,100,50
1,712,2012-02-01,45,18,27,17,10,5,818,40,10,30,20
2,319,2012-02-01,63,28,35,29,6,8,961,60,20,40,20
3,712,2012-02-01,54,23,31,19,12,7,620,50,20,30,20
5,319,2012-02-01,47,19,28,17,11,5,774,50,20,30,20
6,712,2012-02-01,43,0,43,11,32,0,774,50,0,50,40
8,563,2012-02-01,545,234,311,110,201,77,1282,470,200,270,190
9,563,2012-02-01,254,104,150,55,95,33,596,220,80,140,110
11,563,2012-02-01,457,228,229,88,141,63,1436,400,190,210,140
12,515,2012-02-01,534,240,294,125,169,91,1391,460,200,260,150
2,314,2012-02-01,193,86,107,65,42,32,484,200,90,110,50
3,816,2012-02-01,165,75,90,44,46,23,956,170,70,100,60
13,573,2012-02-01,74,33,41,45,-4,12,193,60,20,40,0
5,573,2012-02-01,123,50,73,25,48,14,814,140,50,90,70
6,573,2012-02-01,103,42,61,23,38,11,771,120,40,80,60
8,636,2012-02-01,104,43,61,69,-8,39,256,90,30,60,10
9,417,2012-02-01,102,84,18,50,-32,26,625,80,70,10,-20
11,816,2012-02-01,82,35,47,38,9,11,191,70,30,40,10
12,314,2012-02-01,68,30,38,45,-7,11,165,50,20,30,-10
1,937,2012-02-01,140,60,80,47,33,19,329,140,60,80,50
2,513,2012-02-01,128,52,76,38,38,16,357,130,50,80,50
3,614,2012-02-01,129,54,75,78,-3,49,427,130,50,80,20
11,614,2012-02-01,200,80,120,58,62,26,640,170,60,110,60
12,513,2012-02-01,206,86,120,49,71,26,490,180,70,110,70
6,614,2012-02-01,132,59,73,55,18,22,331,150,60,90,40
5,234,2012-02-01,340,170,170,72,98,47,1073,400,190,210,140
8,330,2012-02-01,56,22,34,17,17,6,452,40,10,30,30
9,740,2012-02-01,80,32,48,20,28,8,817,70,20,50,50
1,262,2012-02-01,118,53,65,53,12,20,306,120,50,70,30
2,920,2012-02-01,220,92,128,113,15,83,541,230,90,140,40
3,414,2012-02-01,180,77,103,53,50,25,423,180,80,100,60
11,920,2012-02-01,137,56,81,40,41,17,382,120,40,80,50
12,414,2012-02-01,155,65,90,87,3,58,513,130,50,80,10
6,715,2012-02-01,110,48,62,27,35,15,617,120,50,70,50
5,414,2012-02-01,154,70,84,42,42,21,957,180,80,100,60
8,715,2012-02-01,174,65,109,43,66,20,372,150,50,100,80
9,262,2012-02-01,115,47,68,25,43,13,772,100,40,60,50
11,475,2012-02-01,123,50,73,25,48,14,814,130,50,80,60
13,475,2012-02-01,66,27,39,18,21,7,772,70,20,50,40
6,203,2012-02-01,130,55,75,46,29,18,305,120,50,70,40
5,860,2012-02-01,155,65,90,87,3,58,513,150,60,90,20
2,959,2012-02-01,325,130,195,74,121,42,945,300,120,180,130
9,475,2012-02-01,193,86,107,66,41,32,484,150,60,90,50
10,860,2012-02-01,165,75,90,44,46,23,956,120,50,70,50
11,786,2012-02-01,80,32,48,20,28,8,817,80,30,50,40
13,727,2012-02-01,115,47,68,24,44,13,772,120,40,80,60
6,407,2012-02-01,180,77,103,52,51,25,423,170,70,100,60
5,305,2012-02-01,220,92,128,112,16,83,541,210,80,130,40
3,305,2012-02-01,206,86,120,49,71,26,490,190,80,110,70
2,754,2012-02-01,200,80,120,57,63,26,640,190,70,120,80
8,754,2012-02-01,110,48,62,28,34,15,617,80,30,50,30
9,727,2012-02-01,118,53,65,53,12,20,306,90,40,50,20
10,850,2012-02-01,154,70,84,42,42,21,957,120,50,70,50
11,978,2012-02-01,80,32,48,20,28,8,817,80,30,50,40
13,978,2012-02-01,56,22,34,17,17,6,452,60,20,40,30
7,508,2012-02-01,340,170,170,71,99,47,1073,330,160,170,110
5,508,2012-02-01,128,54,74,78,-4,49,451,120,50,70,10
2,774,2012-02-01,470,75,395,55,340,24,235,440,70,370,330
9,781,2012-02-01,132,59,73,55,18,22,331,100,40,60,30
11,603,2012-02-01,45,18,27,16,11,5,818,40,10,30,20
13,603,2012-02-01,43,0,43,11,32,0,774,40,0,40,30
7,603,2012-02-01,68,30,38,44,-6,11,165,60,20,40,0
5,603,2012-02-01,104,43,61,68,-7,39,256,100,40,60,10
1,603,2012-02-01,101,41,60,35,25,13,236,90,30,60,40
2,603,2012-02-01,114,45,69,46,23,14,366,100,40,60,30
9,603,2012-02-01,74,33,41,45,-4,12,193,50,20,30,0
11,631,2012-02-01,232,95,137,37,100,26,809,250,100,150,120
12,518,2012-02-01,243,99,144,39,105,27,766,260,100,160,130
13,845,2012-02-01,189,77,112,33,79,21,449,200,80,120,90
7,585,2012-02-01,580,228,352,88,264,63,1402,560,210,350,280
5,585,2012-02-01,61,121,-60,143,-203,110,901,50,110,-60,-190
2,917,2012-02-01,645,258,387,142,245,90,2067,610,240,370,250
9,518,2012-02-01,495,240,255,124,131,91,1454,380,180,200,110
10,607,2012-02-01,180,213,-33,87,-120,66,1214,140,160,-20,-80
5,504,2012-02-01,174,65,109,44,65,20,372,140,50,90,70
6,985,2012-02-01,137,56,81,40,41,17,382,110,40,70,50
8,337,2012-02-01,112,49,63,28,35,16,617,100,40,60,40
9,225,2012-02-01,193,86,107,65,42,32,484,180,80,100,40
4,318,2012-02-01,155,65,90,88,2,58,342,130,50,80,10
2,337,2012-02-01,94,38,56,22,34,10,772,110,40,70,60
3,504,2012-02-01,115,47,68,24,44,13,772,140,50,90,70
5,505,2012-02-01,104,43,61,68,-7,39,256,80,30,50,0
6,505,2012-02-01,82,35,47,39,8,11,191,70,30,40,10
8,505,2012-02-01,45,18,27,17,10,5,818,40,10,30,20
9,505,2012-02-01,63,28,35,30,5,8,961,60,20,40,20
4,505,2012-02-01,68,30,38,45,-7,11,104,50,20,30,0
2,505,2012-02-01,114,45,69,45,24,14,366,140,50,90,50
3,505,2012-02-01,102,84,18,49,-31,26,625,120,100,20,-20
4,405,2012-02-01,206,86,120,50,70,26,300,170,70,100,70
5,918,2012-02-01,56,22,34,17,17,6,452,40,10,30,30
6,405,2012-02-01,200,80,120,57,63,26,640,170,60,110,70
8,918,2012-02-01,118,53,65,54,11,20,306,110,50,60,20
9,405,2012-02-01,220,92,128,113,15,83,541,210,80,130,40
2,918,2012-02-01,100,44,56,27,29,14,618,120,50,70,50
3,405,2012-02-01,80,32,48,19,29,8,817,100,40,60,50
4,512,2012-02-01,189,75,114,56,58,24,378,160,60,100,60
5,903,2012-02-01,243,99,144,38,106,27,766,200,80,120,100
6,956,2012-02-01,189,77,112,32,80,21,449,160,60,100,90
8,214,2012-02-01,140,60,80,47,33,19,329,130,50,80,50
9,432,2012-02-01,128,52,76,38,38,16,357,120,40,80,50
2,972,2012-02-01,465,213,252,88,164,66,942,580,260,320,240
3,432,2012-02-01,190,83,107,39,68,27,613,230,100,130,100
4,435,2012-02-01,103,42,61,23,38,11,771,90,40,50,30
5,801,2012-02-01,112,49,63,28,35,16,617,100,40,60,40
6,435,2012-02-01,123,50,73,25,48,14,814,110,40,70,50
8,435,2012-02-01,101,41,60,36,24,13,236,80,30,50,30
9,435,2012-02-01,114,45,69,45,24,14,366,100,30,70,40
10,435,2012-02-01,102,84,18,49,-31,26,625,80,70,10,-30
11,435,2012-02-01,104,43,61,68,-7,39,256,70,20,50,10
12,435,2012-02-01,82,35,47,38,9,11,191,50,20,30,10
13,435,2012-02-01,68,30,38,44,-6,11,165,40,10,30,10
1,435,2012-02-01,165,75,90,44,46,23,956,200,90,110,70
2,435,2012-02-01,130,55,75,45,30,18,305,160,60,100,70
3,435,2012-02-01,193,86,107,66,41,32,484,240,100,140,80
4,831,2012-02-01,457,228,229,87,142,63,1436,430,210,220,150
5,916,2012-02-01,290,121,169,143,26,110,712,270,110,160,30
6,951,2012-02-01,545,234,311,109,202,77,1282,520,220,300,200
8,949,2012-02-01,232,95,137,37,100,26,809,200,80,120,100
9,714,2012-02-01,465,213,252,88,164,66,942,400,180,220,160
10,530,2012-02-01,190,83,107,39,68,27,613,160,70,90,60
11,626,2012-02-01,243,99,144,38,106,27,766,160,60,100,90
12,858,2012-02-01,189,77,112,32,80,21,449,120,50,70,60
13,858,2012-02-01,189,75,114,56,58,24,549,120,40,80,50
1,909,2012-02-01,132,104,28,55,-27,33,685,160,130,30,-20
2,415,2012-02-01,645,258,387,142,245,90,2067,800,320,480,360
3,818,2012-02-01,122,148,-26,91,-117,48,1071,150,180,-30,-110
4,702,2012-02-01,43,0,43,12,31,0,774,40,0,40,30
5,775,2012-02-01,45,18,27,17,10,5,818,40,10,30,20
6,775,2012-02-01,47,19,28,17,11,5,774,40,10,30,20
3,702,2012-02-01,63,28,35,29,6,8,961,70,30,40,20
8,775,2012-02-01,290,121,169,143,26,110,712,250,100,150,40
9,775,2012-02-01,354,148,206,91,115,48,844,310,120,190,120
10,702,2012-02-01,254,104,150,56,94,33,596,220,80,140,110
11,775,2012-02-01,545,234,311,109,202,77,1282,370,150,220,150
12,702,2012-02-01,457,228,229,87,142,63,1436,310,150,160,100
13,702,2012-02-01,23,240,-240,125,-342,91,1937,0,150,-150,-220
2,775,2012-02-01,74,33,41,46,-5,12,193,90,40,50,10
4,503,2012-02-01,132,59,73,55,18,22,331,120,50,70,20
5,541,2012-02-01,140,60,80,47,33,19,329,130,50,80,50
6,971,2012-02-01,340,170,170,71,99,47,1073,320,160,160,100
3,971,2012-02-01,128,52,76,38,38,16,357,160,60,100,70
8,971,2012-02-01,81,33,48,20,28,9,772,70,20,50,50
9,541,2012-02-01,100,44,56,26,30,14,618,80,30,50,30
11,541,2012-02-01,56,22,34,17,17,6,452,30,10,20,20
12,971,2012-02-01,200,80,120,58,62,26,640,130,50,80,50
13,503,2012-02-01,206,86,120,49,71,26,490,140,50,90,60
1,971,2012-02-01,129,54,75,79,-4,49,427,160,60,100,40
2,503,2012-02-01,155,65,90,65,25,21,392,190,80,110,50
4,360,2012-02-01,110,48,62,27,35,15,617,100,40,60,40
5,253,2012-02-01,118,53,65,53,12,20,306,110,50,60,20
6,509,2012-02-01,154,70,84,43,41,21,957,140,60,80,60
3,206,2012-02-01,220,92,128,113,15,83,541,270,110,160,60
8,206,2012-02-01,325,130,195,74,121,42,945,280,110,170,120
9,509,2012-02-01,94,38,56,22,34,10,772,80,30,50,50
11,360,2012-02-01,174,65,109,43,66,20,372,110,40,70,40
12,206,2012-02-01,137,56,81,40,41,17,382,90,30,60,40
13,253,2012-02-01,155,65,90,87,3,58,513,100,40,60,10
2,509,2012-02-01,142,58,84,40,44,18,331,170,70,100,70
1,720,2012-03-01,213,87,126,36,90,24,756,220,90,130,100
2,970,2012-03-01,193,84,109,40,69,27,603,200,80,120,90
3,720,2012-03-01,234,95,139,38,101,26,799,240,100,140,110
13,720,2012-03-01,98,43,55,26,29,14,613,80,30,50,30
5,719,2012-03-01,198,81,117,33,84,22,441,230,90,140,110
6,970,2012-03-01,180,72,108,54,54,23,541,210,80,130,80
8,719,2012-03-01,325,162,163,69,94,45,1059,280,130,150,100
9,970,2012-03-01,125,52,73,77,-4,47,421,110,40,70,20
10,720,2012-03-01,134,57,77,46,31,18,323,110,40,70,40
11,970,2012-03-01,129,58,71,55,16,22,325,110,40,70,20
12,303,2012-03-01,135,62,73,41,32,19,952,110,50,60,30
2,217,2012-03-01,367,154,213,94,119,50,829,380,160,220,140
3,630,2012-03-01,267,109,158,56,102,34,585,280,110,170,120
5,312,2012-03-01,567,243,324,113,211,80,1260,660,280,380,260
6,773,2012-03-01,478,239,239,91,148,66,1417,560,270,290,200
8,224,2012-03-01,213,87,126,35,91,24,756,180,70,110,90
9,630,2012-03-01,193,84,109,39,70,27,603,160,70,90,60
10,773,2012-03-01,234,95,139,37,102,26,799,200,80,120,100
11,815,2012-03-01,198,81,117,33,84,22,441,170,60,110,80
12,773,2012-03-01,180,72,108,55,53,23,541,150,60,90,40
1,712,2012-03-01,45,18,27,17,10,5,816,40,10,30,20
2,641,2012-03-01,63,28,35,29,6,8,958,60,20,40,20
3,563,2012-03-01,54,23,31,19,12,7,617,50,20,30,20
5,712,2012-03-01,41,16,25,16,9,4,772,40,10,30,20
6,563,2012-03-01,43,0,43,11,32,0,731,50,0,50,40
8,641,2012-03-01,567,243,324,112,212,80,1260,490,200,290,210
9,319,2012-03-01,267,109,158,56,102,34,585,230,90,140,110
11,515,2012-03-01,478,239,239,91,148,66,1417,420,200,220,140
12,515,2012-03-01,546,245,301,126,175,93,1369,480,210,270,160
2,573,2012-03-01,189,85,104,65,39,32,476,190,90,100,40
3,573,2012-03-01,163,74,89,44,45,22,949,170,70,100,60
13,573,2012-03-01,75,33,42,46,-4,12,190,60,20,40,0
5,573,2012-03-01,121,49,72,25,47,13,809,140,50,90,70
6,660,2012-03-01,118,48,70,25,45,13,766,130,50,80,60
8,816,2012-03-01,107,44,63,69,-6,40,251,90,30,60,10
9,636,2012-03-01,106,88,18,50,-32,27,715,90,70,20,-10
11,417,2012-03-01,85,36,49,38,11,11,187,70,30,40,10
12,417,2012-03-01,75,33,42,45,-3,12,162,60,20,40,0
1,937,2012-03-01,134,57,77,45,32,18,323,140,60,80,50
2,740,2012-03-01,121,49,72,37,35,15,351,120,50,70,40
3,513,2012-03-01,125,52,73,77,-4,47,421,130,50,80,20
11,513,2012-03-01,210,84,126,58,68,27,632,180,70,110,60
12,513,2012-03-01,214,89,125,51,74,27,481,180,70,110,70
6,234,2012-03-01,129,58,71,56,15,22,325,150,60,90,40
5,513,2012-03-01,325,162,163,69,94,45,1059,380,180,200,130
8,234,2012-03-01,53,21,32,17,15,5,449,40,10,30,30
9,740,2012-03-01,79,32,47,19,28,8,813,60,20,40,40
1,262,2012-03-01,120,54,66,53,13,20,301,120,50,70,30
2,262,2012-03-01,227,95,132,115,17,86,532,230,100,130,30
3,414,2012-03-01,188,80,108,53,55,26,415,190,80,110,70
11,414,2012-03-01,129,52,77,39,38,16,376,110,40,70,40
12,920,2012-03-01,150,63,87,86,1,57,506,130,50,80,10
6,715,2012-03-01,112,49,63,29,34,16,611,130,50,80,60
5,715,2012-03-01,155,71,84,43,41,22,950,180,80,100,60
8,262,2012-03-01,167,62,105,42,63,19,346,140,50,90,70
9,715,2012-03-01,121,49,72,25,47,13,767,100,40,60,50
11,959,2012-03-01,121,49,72,25,47,13,809,130,50,80,60
13,860,2012-03-01,62,25,37,19,18,7,769,60,20,40,30
6,860,2012-03-01,124,53,71,45,26,17,299,120,50,70,40
5,860,2012-03-01,150,63,87,87,0,57,506,140,60,80,10
2,475,2012-03-01,309,123,186,72,114,40,932,290,110,180,130
